Water,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Heptane,Carbon Dioxide,SPECIFIC GRAVITY,Pressure (psia),PR,Hydrate Temperature (K)
3.490401,87.26003,1.745201,1.22164,0.1745201,0.3490401,0.8726003,0.1745201,0.1745201,0.1745201,4.363002,0.65573579,790.2243,1.026591129,286.3266
0,76.31,0,0,0,0,0,0,0,0,23.69,0.782477815,722.2222222,0.946918875,286.2550049
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0.82973851,22.02746,0.027422025,247.0913
0,76.31,0,0,0,0,0,0,0,0,23.69,0.782477815,1833.333333,2.403717143,291.7012939
0.530504,92.8382,1.32626,1.856764,0.265252,0.530504,1.32626,0.265252,0.265252,0.265252,0.530504,0.64017476,1608.616,2.375917569,291.6796
0.6465517,90.51724,4.310345,1.508621,0.2155172,0.4310345,1.077586,0.2155172,0.2155172,0.2155172,0.6465517,0.641855639,1932.839,2.830693527,292.9673
0.6465517,90.51724,4.310345,1.508621,0.2155172,0.4310345,1.077586,0.2155172,0.2155172,0.2155172,0.6465517,0.641855639,1397.101,2.046091143,291.179
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0.82973851,1769.58,2.202953359,295.1566
1.686341,92.74874,1.686341,1.180438,0.1686341,0.3372681,0.8431703,0.1686341,0.1686341,0.1686341,0.8431703,0.618590173,155.659,0.219253637,273.0314
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0.82973851,1119.997,1.394286302,292.908
0.530504,92.8382,1.32626,1.856764,0.265252,0.530504,1.32626,0.265252,0.265252,0.265252,0.530504,0.64017476,15.82376,0.023371612,229.9291
0,64,0,0,0,0,0,0,0,0,36,0.901315844,342.29,0.421311112,277.15
1.677852,83.89262,5.704698,2.348993,0.3355705,0.6711409,1.677852,0.3355705,0.3355705,0.3355705,2.684564,0.702698121,515.8446,0.7214691,285.2626
17.69912,35.39823,8.849558,6.19469,0.8849558,1.769912,4.424779,0.8849558,0.8849558,0.8849558,22.12389,1.070778126,1874.755,1.578005906,292.7791
0.7407407,88.88889,1.851852,2.592593,0.3703704,0.7407407,1.851852,0.3703704,0.3703704,0.3703704,1.851852,0.685139183,1801.722,2.628247355,292.8985
0,87,0,0,0,0,0,0,0,0,13,0.679278909,1833.333333,2.547994959,291.4531555
0,78.4,0,0,0,0,0,0,0,0,21.6,0.762301415,522.14,0.692250989,282.9
0.7407407,88.88889,1.851852,2.592593,0.3703704,0.7407407,1.851852,0.3703704,0.3703704,0.3703704,1.851852,0.685139183,752.7749,1.09810428,287.8437
0,50.42,0,0,0,0,0,0,0,0,49.58,1.032414173,1388.888889,1.601387945,290.4651794
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0.835746521,75.34997,0.094077591,270.7267
3.490401,87.26003,1.745201,1.22164,0.1745201,0.3490401,0.8726003,0.1745201,0.1745201,0.1745201,4.363002,0.65573579,1181.448,1.534835156,289.0143
0.530504,92.8382,1.32626,1.856764,0.265252,0.530504,1.32626,0.265252,0.265252,0.265252,0.530504,0.64017476,1080.686,1.596167671,289.4247
0,51.62,0,0,0,0,0,0,0,0,48.38,1.020829638,722.2222222,0.837402595,286.2098694
0,52,0,0,0,0,0,0,0,0,48,1.017161201,500,0.580774056,283.8873596
1.340483,80.42895,6.702413,1.876676,0.2680965,0.536193,1.340483,0.2680965,0.2680965,0.2680965,6.702413,0.727137989,119.0178,0.164246301,272.3596
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0.835746521,2510.05,3.133902472,296.0065
3.490401,87.26003,1.745201,1.22164,0.1745201,0.3490401,0.8726003,0.1745201,0.1745201,0.1745201,4.363002,0.65573579,220.0878,0.285919053,276.0601
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0.835746521,2578.802,3.219742221,296.1433
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0.82973851,67.36335,0.083860757,270.8013
13.44086,64.51613,9.139785,3.763441,0.5376344,1.075269,0.5376344,0.5376344,0.5376344,0.5376344,5.376344,0.768418394,619.0956,0.604350741,288.1194
13.44086,64.51613,9.139785,3.763441,0.5376344,1.075269,0.5376344,0.5376344,0.5376344,0.5376344,5.376344,0.768418394,929.054,0.906926933,290.8582
0.7407407,88.88889,1.851852,2.592593,0.3703704,0.7407407,1.851852,0.3703704,0.3703704,0.3703704,1.851852,0.685139183,941.1079,1.372833517,289.353
4.784689,83.73206,4.784689,1.674641,0.2392344,0.4784689,1.196172,0.2392344,0.2392344,0.2392344,2.392344,0.670483235,1442.535,1.816023176,291.5962
0,52.55,4.74,3.11,1.31,1.88,0,4.01,0,0,31.4,1.02843914,1611.111111,2.075139083,292.7391357
4.520796,86.79928,0.9041591,1.265823,0.1808318,0.3616637,0.9041591,0.1808318,0.1808318,0.1808318,4.520796,0.655660836,1235.401,1.552000656,289.1109
0.6465517,90.51724,4.310345,1.508621,0.2155172,0.4310345,1.077586,0.2155172,0.2155172,0.2155172,0.6465517,0.641855639,129.0541,0.189003122,271.8636
0.6465517,90.51724,4.310345,1.508621,0.2155172,0.4310345,1.077586,0.2155172,0.2155172,0.2155172,0.6465517,0.641855639,2409.905,3.529369226,294.1314
17.69912,35.39823,8.849558,6.19469,0.8849558,1.769912,4.424779,0.8849558,0.8849558,0.8849558,22.12389,1.070778126,33.98049,0.028601825,255.4706
0.6465517,90.51724,4.310345,1.508621,0.2155172,0.4310345,1.077586,0.2155172,0.2155172,0.2155172,0.6465517,0.641855639,2068.507,3.02938288,293.3252
