Water,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Heptane,Carbon Dioxide,Nitrogen,H2S,SPECIFIC GRAVITY,Pressure (psia),PR,TPC,Hydrate Temperature (K)
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,927.4972,1.154200943,265.3190548,291.788
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,864.2668,1.075515436,265.3190548,291.3448
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,801.5922,0.997521581,265.3190548,290.8597
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,739.539,0.920301011,265.3190548,290.3269
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,678.1846,0.843950046,265.3190548,289.7401
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,617.621,0.768583173,265.3190548,289.0914
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,557.958,0.694337029,265.3190548,288.3711
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,499.3286,0.621377122,265.3190548,287.5676
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,441.8947,0.549904926,265.3190548,286.6664
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,385.8558,0.480168704,265.3190548,285.649
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,331.4603,0.41247757,265.3190548,284.4924
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,279.0204,0.347220033,265.3190548,283.1667
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,228.933,0.284890008,265.3190548,281.6328
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,181.7065,0.226120158,265.3190548,279.8395
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,137.9942,0.171723468,265.3190548,277.7181
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,98.6308,0.122738659,265.3190548,275.1763
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,79.85525,0.09937389,265.3190548,273.6156
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,74.53891,0.092758102,265.3190548,273.1138
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,74.53891,0.092758102,265.3190548,273.1138
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,73.88584,0.091945406,265.3190548,272.9543
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,73.66424,0.091669641,265.3190548,272.8839
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,73.2276,0.091126275,265.3190548,272.7445
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,72.36158,0.090048578,265.3190548,272.466
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,70.65821,0.087928861,265.3190548,271.9099
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,67.36335,0.083828654,265.3190548,270.8013
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,61.20002,0.076158851,265.3190548,268.5986
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,50.42152,0.062745813,265.3190548,264.2512
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,41.38835,0.051504708,265.3190548,259.9552
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,33.76463,0.042017558,265.3190548,255.6627
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,27.3664,0.034055439,265.3190548,251.3747
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,22.02746,0.027411528,265.3190548,247.0913
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,17.59994,0.02190181,265.3190548,242.8125
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,13.95263,0.017363005,265.3190548,238.5382
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,2647.555,3.304080652,256.1583947,296.2776
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,2578.802,3.218278674,256.1583947,296.1433
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,2510.05,3.132477943,256.1583947,296.0065
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,2441.395,3.046798266,256.1583947,295.8673
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,2372.84,2.961243387,256.1583947,295.7255
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,2304.391,2.875820792,256.1583947,295.5809
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,2236.053,2.790536723,256.1583947,295.4333
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,2167.831,2.705397419,256.1583947,295.2826
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,2099.733,2.620412864,256.1583947,295.1285
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,2031.766,2.535591793,256.1583947,294.9708
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0,0.00,0.835746521,1963.937,2.450942943,256.1583947,294.8091
